1,11
2,25
4,24
5,33
6,32
7,16
8,29
10,25
12,34
14,22
15,15
17,20
20,35
21,25
22,32
26,27
27,31
29,32
30,31
33,21
34,13
37,33
45,27
46,29
49,28
51,16
52,26
54,17
55,27
56,33
59,13
60,29
61,27
63,24
64,22
65,21
66,24
68,27
73,28
74,16
76,18
78,29
81,35
85,31
89,11
90,19
92,23
96,27
97,22
100,9
101,26
102,31
103,22
106,26
107,32
108,24
112,25
113,28
114,23
116,34
120,19
122,28
124,33
126,17
132,24
133,34
134,26
135,34
136,24
137,29
138,24
140,23
141,30
142,29
144,16
145,34
146,28
150,27
153,13
154,20
155,29
156,22
158,23
159,20
162,25
164,22
167,13
168,27
170,24
171,24
173,30
175,24
176,9
179,30
181,19
186,21
190,30
191,28
194,29
196,15
198,16
199,27
200,34
206,34
210,9
212,20
214,22
215,22
216,23
218,15
219,31
220,22
221,11
223,20
224,32
225,23
229,21
230,12
231,16
232,8
233,28
235,21
236,27
238,24
241,27
245,22
246,14
250,14
253,15
254,18
259,21
260,17
261,29
263,16
269,23
271,33
274,27
280,24
281,21
282,33
284,16
286,26
287,28
289,11
293,20
294,28
295,27
296,17
298,31
299,28
302,17
303,12
304,10
308,25
309,29
310,26
312,23
317,28
319,31
320,23
322,32
324,23
326,21
327,35
328,28
330,32
331,31
332,15
334,35
341,15
342,34
346,19
347,16
348,36
350,31
352,26
356,20
357,24
358,20
361,31
362,22
363,24
365,13
369,31
371,23
372,21
374,22
376,22
378,25
379,14
386,19
388,24
389,14
390,31
391,14
392,12
393,16
394,26
397,30
