,0
0,37.780515126474626
1,47.77077361293436
2,48.746475319810614
3,62.55406348437911
4,44.29284666838144
5,44.29284666838144
6,47.77077361293436
7,82.6249235122701
8,44.29284666838144
9,90.1446049482594
10,44.29284666838144
11,48.746475319810614
12,47.77077361293436
13,37.780515126474626
14,37.780515126474626
15,62.55406348437911
16,76.3370167836909
17,47.77077361293436
18,44.29284666838144
19,44.29284666838144
20,44.29284666838144
21,52.22440226436352
22,40.354422588847385
23,43.83234953340029
24,43.83234953340029
25,72.39859270415684
26,43.16440237287367
27,43.83234953340029
28,43.83234953340029
29,67.94496405272767
30,44.80805124027654
31,43.83234953340029
32,40.354422588847385
33,67.94496405272767
34,43.83234953340029
35,72.39859270415684
36,58.61563940484504
37,58.61563940484504
38,40.354422588847385
39,48.285978184829446
